CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,HasBalance,ActiveBalance,InactiveHighBalance,Geography_Germany,Geography_Spain,Gender_Male,AgeGroup_30_39,AgeGroup_40_49,AgeGroup_50_59,AgeGroup_60_plus,LogCustomerValue
646,46,4,0.0,3,1,0,93251.42,1,0,0.0,0,0,0,0,0,1,0,0,0.0
635,28,3,81623.67,2,1,1,156791.36,0,1,81623.67,0,1,0,0,0,0,0,0,12.003027878633686
647,44,5,0.0,3,1,1,174205.22,1,0,0.0,0,0,1,0,0,1,0,0,0.0
808,45,7,118626.55,2,1,0,147132.46,0,1,0.0,1,0,0,1,0,1,0,0,12.376886997671642
524,36,10,0.0,2,1,0,109614.57,0,0,0.0,0,0,0,0,1,0,0,0,0.0
769,29,8,0.0,2,1,1,172290.61,0,0,0.0,0,0,0,1,0,0,0,0,0.0
730,42,4,0.0,2,0,1,85982.47,0,0,0.0,0,0,1,1,0,1,0,0,0.0
515,35,10,176273.95,1,0,1,121277.78,0,1,176273.95,0,0,1,1,1,0,0,0,12.079800270939492
773,41,9,102827.44,1,0,1,64595.25,0,1,102827.44,0,0,1,1,0,1,0,0,11.540817247438122
814,29,8,97086.4,2,1,1,197276.13,0,1,97086.4,0,1,0,1,0,0,0,0,12.176508913276477
710,22,8,0.0,2,0,0,99645.04,0,0,0.0,0,0,1,1,0,0,0,0,0.0
413,34,9,0.0,2,0,0,6534.18,0,0,0.0,0,0,0,1,1,0,0,0,0.0
665,40,6,0.0,1,1,1,161848.03,0,0,0.0,0,0,0,0,0,1,0,0,0.0
623,44,6,0.0,2,0,0,167162.43,0,0,0.0,0,0,0,0,0,1,0,0,0.0
738,31,9,82674.15,1,1,0,41970.72,0,1,0.0,1,0,0,1,1,0,0,0,11.322674352181581
528,36,7,0.0,2,1,0,60536.56,0,0,0.0,0,0,1,1,1,0,0,0,0.0
670,65,1,0.0,1,1,1,177655.68,1,0,0.0,0,0,1,0,0,0,0,1,0.0
622,46,4,107073.27,2,1,1,30984.59,1,1,107073.27,0,0,1,0,0,1,0,0,12.274420495702264
582,32,1,88938.62,1,1,1,10054.53,0,1,88938.62,0,1,0,1,1,0,0,0,11.395712991512273
785,36,2,99806.85,1,0,1,36976.52,0,1,99806.85,0,1,0,0,1,0,0,0,11.51100211652086
605,33,5,150092.8,1,0,0,71862.79,0,1,0.0,1,0,1,1,1,0,0,0,11.91901571097231
479,35,9,92833.89,1,1,0,99449.86,1,1,0.0,1,1,0,1,1,0,0,0,11.438577817942932
685,30,3,90536.81,1,0,1,63082.88,0,1,90536.81,0,1,0,1,1,0,0,0,11.413522832493301
538,39,7,108055.1,2,1,0,27231.26,0,1,0.0,1,1,0,1,1,0,0,0,12.283548369009434
562,42,2,100238.35,1,0,0,86797.41,0,1,0.0,1,0,0,1,0,1,0,0,11.515316105111575
675,36,9,106190.55,1,0,1,22994.32,0,1,106190.55,0,0,1,1,1,0,0,0,11.572999817769375
721,28,9,154475.54,2,0,1,101300.94,1,1,154475.54,0,1,0,1,0,0,0,0,12.640941462947447
628,30,9,132351.29,2,1,1,74169.13,0,1,132351.29,0,1,0,0,1,0,0,0,12.48636591286873
668,37,6,167864.4,1,1,0,115638.29,0,1,0.0,1,1,0,0,1,0,0,0,12.030917746784583
506,41,1,0.0,2,1,0,31766.3,0,0,0.0,0,0,0,0,0,1,0,0,0.0
524,31,8,107818.63,1,1,0,199725.39,1,1,0.0,1,1,0,0,1,0,0,0,11.588215017354436
699,34,4,185173.81,2,1,0,120834.48,0,1,0.0,1,1,0,1,1,0,0,0,12.822200057229551
828,34,8,129433.34,2,0,0,38131.77,0,1,0.0,1,0,0,1,1,0,0,0,12.464072322103032
674,39,6,120193.42,1,0,0,100130.95,0,1,0.0,1,0,1,1,1,0,0,0,11.696865877376728
656,39,6,0.0,2,1,0,141069.88,0,0,0.0,0,0,0,0,1,0,0,0,0.0
684,48,10,126384.42,1,1,1,198129.36,0,1,126384.42,0,1,0,0,0,1,0,0,11.747091405940525
625,28,3,0.0,1,0,0,183646.41,0,0,0.0,0,0,0,0,0,0,0,0,0.0
432,42,9,152603.45,1,1,0,110265.24,1,1,0.0,1,0,0,1,0,1,0,0,11.93560455861308
549,52,1,0.0,1,0,1,8636.05,1,0,0.0,0,0,0,0,0,0,1,0,0.0
625,56,0,148507.24,1,1,0,46824.08,1,1,0.0,1,1,0,1,0,0,1,0,11.908395723900965
828,41,7,0.0,2,1,0,171378.77,0,0,0.0,0,0,0,0,0,1,0,0,0.0
770,24,9,101827.07,1,1,0,167256.35,0,1,0.0,1,0,0,1,0,0,0,0,11.531041081828874
758,34,3,0.0,2,1,1,124226.16,0,0,0.0,0,0,0,0,1,0,0,0,0.0
795,33,9,130862.43,1,1,1,114935.21,0,1,130862.43,0,1,0,0,1,0,0,0,11.781909539298317
687,38,9,122570.87,1,1,1,35608.88,0,1,122570.87,0,0,0,1,1,0,0,0,11.716452830806903
686,25,1,0.0,2,0,1,16459.37,0,0,0.0,0,0,0,1,0,0,0,0,0.0
789,39,7,124828.46,2,1,1,124411.08,0,1,124828.46,0,1,0,1,1,0,0,0,12.427846939839727
589,50,5,144895.05,2,1,1,34941.23,0,1,144895.05,0,1,0,0,0,0,1,0,12.576915597562072
461,34,5,63663.93,1,0,1,167784.28,0,1,63663.93,0,1,0,0,1,0,0,0,11.061389140501708
637,40,2,133463.1,1,0,1,93165.34,0,1,133463.1,0,0,0,1,0,1,0,0,11.80158780680095
584,48,2,213146.2,1,1,0,75161.25,1,1,0.0,1,0,1,0,0,1,0,0,12.269738285818077
579,35,1,129490.36,2,0,1,8590.83,1,1,129490.36,0,0,1,0,1,0,0,0,12.46451275904027
756,44,10,137452.09,1,1,0,189543.9,0,1,0.0,1,1,0,1,0,1,0,0,11.831037974242847
663,34,7,0.0,2,1,1,180427.24,0,0,0.0,0,0,0,1,1,0,0,0,0.0
682,43,5,125851.93,1,1,1,193318.33,0,1,125851.93,0,0,0,0,0,1,0,0,11.742869281976994
793,52,2,0.0,1,1,0,159123.82,1,0,0.0,0,0,1,1,0,0,1,0,0.0
691,31,5,40915.55,1,1,0,126213.84,1,1,0.0,1,0,0,0,1,0,0,0,10.619289905660763
485,21,5,113157.22,1,1,1,54141.5,0,1,113157.22,0,0,1,0,0,0,0,0,11.636542295351878
635,29,8,138296.94,2,1,0,141075.51,0,1,0.0,1,0,1,0,0,0,0,0,12.53030918755702
650,37,5,106967.18,1,0,0,24495.03,0,1,0.0,1,0,0,1,1,0,0,0,11.580286686039328
735,44,9,120681.63,1,1,0,74836.34,0,1,0.0,1,0,0,1,0,1,0,0,11.700919486207555
416,32,0,0.0,2,0,1,878.87,0,0,0.0,0,0,0,1,1,0,0,0,0.0
754,32,7,0.0,2,1,0,89520.75,0,0,0.0,0,0,1,0,1,0,0,0,0.0
535,48,9,0.0,1,1,0,149892.79,1,0,0.0,0,0,0,0,0,1,0,0,0.0
716,42,8,0.0,2,1,0,180800.42,0,0,0.0,0,0,1,1,0,1,0,0,0.0
539,37,2,127609.59,1,1,0,98646.22,0,1,0.0,1,0,0,1,1,0,0,0,11.756738640179446
614,43,6,0.0,2,1,1,109041.53,0,0,0.0,0,0,0,0,0,1,0,0,0.0
706,57,7,0.0,1,1,0,17941.16,1,0,0.0,0,0,1,1,0,0,1,0,0.0
758,33,7,0.0,2,0,0,82996.47,0,0,0.0,0,0,0,0,1,0,0,0,0.0
586,28,2,0.0,2,1,1,92067.35,0,0,0.0,0,0,1,0,0,0,0,0,0.0
646,73,6,97259.25,1,0,1,104719.66,0,1,97259.25,0,0,0,0,0,0,0,1,11.48514565438425
631,33,4,123246.7,1,0,0,112687.57,0,1,0.0,1,1,0,0,1,0,0,0,11.721951430473206
717,22,6,101060.25,1,0,1,84699.56,0,1,101060.25,0,0,1,0,0,0,0,0,11.523482047659174
684,30,2,0.0,2,1,0,83473.82,0,0,0.0,0,0,0,1,1,0,0,0,0.0
800,49,7,108007.36,1,0,0,47125.11,0,1,0.0,1,0,0,0,0,1,0,0,11.589963910517966
721,36,2,0.0,2,1,1,106977.8,0,0,0.0,0,0,1,0,1,0,0,0,0.0
683,29,0,133702.89,1,1,0,55582.54,1,1,0.0,1,0,1,1,0,0,0,0,11.803382857655565
660,31,9,125189.75,2,1,1,139874.43,0,1,125189.75,0,1,0,1,1,0,0,0,12.430737039776274
704,24,7,113034.22,1,1,0,162503.48,1,1,0.0,1,1,0,0,0,0,0,0,11.635454730547846
615,41,9,109013.23,1,1,0,196499.96,0,1,0.0,1,0,1,0,0,1,0,0,11.599233703149027
667,39,2,0.0,2,1,0,40721.24,1,0,0.0,0,0,1,0,1,0,0,0,0.0
682,24,9,57929.81,2,0,0,53134.3,0,1,0.0,1,1,0,1,0,0,0,0,11.660143195922332
484,29,4,130114.39,1,1,0,164017.89,0,1,0.0,1,0,0,0,0,0,0,0,11.77617695112475
628,27,5,95826.49,2,1,0,155996.96,0,1,0.0,1,1,0,1,0,0,0,0,12.16344683761629
480,44,10,129608.57,1,1,0,5472.7,1,1,0.0,1,1,0,1,0,1,0,0,11.772281902766673
578,30,4,169462.09,1,1,0,112187.11,0,1,0.0,1,0,0,1,1,0,0,0,12.040390423977808
512,40,5,0.0,2,1,1,146457.83,0,0,0.0,0,0,0,1,0,1,0,0,0.0
484,35,7,133868.21,1,1,1,27286.1,0,1,133868.21,0,0,1,0,1,0,0,0,11.804618557515052
510,30,0,0.0,2,1,1,130553.47,0,0,0.0,0,0,0,0,1,0,0,0,0.0
606,36,5,190479.48,2,0,0,179351.89,0,1,0.0,1,1,0,1,1,0,0,0,12.850449556722785
597,40,8,101993.12,1,0,1,94774.12,0,1,101993.12,0,0,1,0,0,1,0,0,11.532670443545928
754,55,3,161608.81,1,1,0,8080.85,1,1,0.0,1,1,0,0,0,0,1,0,11.992940128672176
850,45,2,122311.21,1,1,1,19482.5,0,1,122311.21,0,0,1,0,0,1,0,0,11.714332153159638
510,65,2,0.0,2,1,1,48071.61,0,0,0.0,0,0,0,1,0,0,0,1,0.0
778,45,1,162150.42,2,1,0,174531.27,0,1,0.0,1,1,0,0,0,1,0,0,12.68942996603818
636,42,2,0.0,2,1,1,55470.78,0,0,0.0,0,0,0,1,0,1,0,0,0.0
804,50,4,0.0,1,1,1,8546.87,1,0,0.0,0,0,0,0,0,0,1,0,0.0
514,32,8,0.0,2,1,0,95857.18,0,0,0.0,0,0,0,1,1,0,0,0,0.0
730,39,1,99010.67,1,1,0,194945.8,0,1,0.0,1,0,0,0,1,0,0,0,11.502993000957447
525,37,0,0.0,1,0,1,131521.72,0,0,0.0,0,0,1,0,1,0,0,0,0.0
616,30,5,0.0,2,0,1,196108.51,0,0,0.0,0,0,1,1,1,0,0,0,0.0
687,34,7,111388.18,2,1,0,148564.76,0,1,0.0,1,1,0,0,1,0,0,0,12.313928166073108
715,41,8,56214.85,2,0,0,92982.61,1,1,0.0,1,0,0,0,0,1,0,0,11.630092310820661
512,36,3,84327.77,2,1,0,17675.36,0,1,0.0,1,0,0,0,1,0,0,0,12.035619618273357
479,40,1,0.0,2,0,0,114996.43,0,0,0.0,0,0,0,1,0,1,0,0,0.0
601,32,8,93012.89,1,1,0,86957.42,0,1,0.0,1,0,0,1,1,0,0,0,11.44050411582178
580,29,9,61710.44,2,1,0,128077.8,0,1,0.0,1,0,1,1,0,0,0,0,11.723363684298342
807,35,3,174790.15,1,1,1,600.36,0,1,174790.15,0,0,0,1,1,0,0,0,12.071347111631248
616,32,6,0.0,2,1,1,43001.46,0,0,0.0,0,0,1,0,1,0,0,0,0.0
721,37,3,107720.64,1,1,1,158591.12,0,1,107720.64,0,1,0,1,1,0,0,0,11.587305771466157
501,57,10,0.0,2,1,1,47847.19,0,0,0.0,0,0,0,1,0,0,1,0,0.0
521,35,6,96423.84,1,1,0,10488.44,0,1,0.0,1,0,0,1,1,0,0,0,11.476519123754336
850,30,2,141040.01,1,1,1,5978.2,0,1,141040.01,0,0,1,1,1,0,0,0,11.856805978135164
759,42,4,105420.18,1,0,1,121409.06,0,1,105420.18,0,0,0,1,0,1,0,0,11.565718843668503
516,50,5,0.0,1,0,1,146145.93,1,0,0.0,0,0,1,1,0,0,1,0,0.0
711,38,2,129022.06,2,1,1,14374.86,1,1,129022.06,0,0,0,0,1,0,0,0,12.460889732334309
512,33,3,176666.62,1,1,0,94670.77,0,1,0.0,1,0,1,1,1,0,0,0,12.082025393072051
550,37,3,0.0,1,1,1,179670.31,0,0,0.0,0,0,0,1,1,0,0,0,0.0
608,41,3,89763.84,1,0,0,199304.74,1,1,0.0,1,0,1,0,0,1,0,0,11.404948640871435
618,34,5,134954.53,1,1,1,151954.39,0,1,134954.53,0,0,0,1,1,0,0,0,11.812700595746621
643,45,5,0.0,1,1,0,142513.5,1,0,0.0,0,0,0,1,0,1,0,0,0.0
671,45,2,106376.85,1,0,1,158264.62,0,1,106376.85,0,0,0,1,0,1,0,0,11.574752657526176
689,33,2,161814.64,2,1,0,169381.9,0,1,0.0,1,1,0,1,1,0,0,0,12.687357032100353
603,31,8,0.0,2,1,1,169915.02,0,0,0.0,0,0,0,1,1,0,0,0,0.0
620,41,9,0.0,2,0,0,88852.47,0,0,0.0,0,0,0,0,0,1,0,0,0.0
676,34,1,63095.01,1,1,1,40645.81,0,1,63095.01,0,0,0,0,1,0,0,0,11.052412813566466
572,26,4,118287.01,2,0,0,60427.3,0,1,0.0,1,1,0,1,0,0,0,0,12.374020645916216
668,47,7,106854.21,1,0,1,157959.02,1,1,106854.21,0,1,0,1,0,1,0,0,11.579230019502413
695,46,7,49512.55,1,1,0,133007.34,0,1,0.0,1,0,0,1,0,1,0,0,10.81000164847128
730,33,9,0.0,2,0,0,176576.62,0,0,0.0,0,0,1,0,1,0,0,0,0.0
807,43,1,105799.32,2,1,0,34888.04,1,1,0.0,1,0,0,1,0,1,0,0,12.262451277641583
592,54,8,0.0,1,1,1,28737.71,1,0,0.0,0,0,0,1,0,0,1,0,0.0
726,31,9,114722.05,2,1,1,98178.57,0,1,114722.05,0,0,0,0,1,0,0,0,12.343419064179827
514,30,7,0.0,1,0,1,125010.24,0,0,0.0,0,0,1,1,1,0,0,0,0.0
567,42,2,0.0,2,1,1,167984.61,0,0,0.0,0,0,0,1,0,1,0,0,0.0
850,33,10,0.0,1,1,0,4861.72,1,0,0.0,0,0,0,1,1,0,0,0,0.0
671,45,6,99564.22,1,1,1,108872.45,1,1,99564.22,0,1,0,1,0,1,0,0,11.508568185802146
670,37,4,170557.91,2,1,0,198252.88,0,1,0.0,1,0,0,1,1,0,0,0,12.739980278243465
694,30,9,0.0,2,1,1,26960.31,0,0,0.0,0,0,0,0,1,0,0,0,0.0
547,39,6,74596.15,3,1,1,85746.52,1,1,74596.15,0,1,0,0,1,0,0,0,12.31846093344498
751,50,2,96888.39,1,1,0,77206.25,1,1,0.0,1,1,0,1,0,0,1,0,11.481325297559872
594,29,3,130830.22,1,1,0,61048.53,0,1,0.0,1,1,0,0,0,0,0,0,11.78166337453979
673,72,1,0.0,2,0,1,111981.19,0,0,0.0,0,0,0,1,0,0,0,1,0.0
610,40,0,0.0,2,1,0,62232.6,0,0,0.0,0,0,0,1,0,1,0,0,0.0
512,37,1,0.0,2,0,1,156105.03,0,0,0.0,0,0,0,0,1,0,0,0,0.0
767,20,3,119714.25,2,0,1,150135.38,0,1,119714.25,0,1,0,1,0,0,0,0,12.386014289242954
585,67,5,113978.97,2,0,1,93146.11,0,1,113978.97,0,0,0,0,0,0,0,1,12.33692080399954
763,42,6,100160.75,1,1,0,33462.94,1,1,0.0,1,1,0,1,0,1,0,0,11.514541658226019
712,29,2,0.0,1,1,1,144375.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
539,43,3,116220.5,3,1,0,55803.96,1,1,0.0,1,1,0,0,0,1,0,0,12.761859684580683
668,46,2,0.0,3,1,0,89048.46,1,0,0.0,0,0,0,0,0,1,0,0,0.0
703,28,2,81173.83,2,0,1,162812.16,0,1,81173.83,0,0,0,1,0,0,0,0,11.997501523724216
662,38,4,0.0,2,1,0,136259.65,0,0,0.0,0,0,1,1,1,0,0,0,0.0
725,39,5,116803.8,1,1,0,124052.97,0,1,0.0,1,1,0,0,1,0,0,0,11.668259444422262
703,37,8,105961.68,2,0,1,74158.8,0,1,105961.68,0,0,0,1,1,0,0,0,12.263984697535747
659,67,6,117411.6,1,1,1,45071.09,1,1,117411.6,0,1,0,1,0,0,0,1,11.67344950600048
523,34,7,0.0,2,1,0,62030.06,0,0,0.0,0,0,1,1,1,0,0,0,0.0
635,40,10,123497.58,1,1,0,131953.23,1,1,0.0,1,0,0,0,0,1,0,0,11.723984937008359
772,26,7,152400.51,2,1,0,79414.0,0,1,0.0,1,1,0,1,0,0,0,0,12.627417730069256
545,26,1,0.0,2,1,1,199638.56,0,0,0.0,0,0,0,0,0,0,0,0,0.0
634,24,8,103097.85,1,1,1,157577.29,0,1,103097.85,0,1,0,1,0,0,0,0,11.543443515723638
739,54,8,126418.14,1,1,0,134420.75,1,1,0.0,1,1,0,1,0,0,1,0,11.747358173282063
771,36,5,77846.9,1,0,0,99805.99,0,1,0.0,1,1,0,0,1,0,0,0,11.262512201946484
587,34,1,0.0,2,1,1,97932.68,0,0,0.0,0,0,1,0,1,0,0,0,0.0
681,79,0,0.0,2,0,1,170968.99,0,0,0.0,0,0,0,0,0,0,0,1,0.0
544,37,2,79731.91,1,1,1,57558.95,0,1,79731.91,0,1,0,1,1,0,0,0,11.286437703011861
696,28,8,0.0,1,0,0,176713.47,0,0,0.0,0,0,1,1,0,0,0,0,0.0
766,41,0,0.0,2,0,1,34283.23,0,0,0.0,0,0,1,1,0,1,0,0,0.0
727,34,10,0.0,2,1,1,198637.34,0,0,0.0,0,0,0,1,1,0,0,0,0.0
671,34,6,37266.67,2,0,0,156917.12,0,1,0.0,1,1,0,0,1,0,0,0,11.219015237764943
693,30,6,127992.25,1,1,1,50457.2,0,1,127992.25,0,0,0,0,1,0,0,0,11.759732807136249
850,38,3,54901.01,1,1,1,140075.55,0,1,54901.01,0,1,0,1,1,0,0,0,10.913305238849276
732,42,9,108748.08,2,1,1,65323.11,0,1,108748.08,0,1,0,1,0,1,0,0,12.289941071954361
